p_std: 5.00, v_std: 0.10
bad:
94, 0.27649230813984943
95, 0.26503394925142043
96, 0.27344769828260557
97, 0.2655335152494548
98, 0.2736639019788605
99, 0.28083294034606826
100, 0.2714380210663685
101, 0.2746467950546778
102, 0.26763817985644267
103, 0.28739508797275587
104, 0.26940813682519626
105, 0.2763067559918104
106, 0.289750481740068
107, 0.289474342287131
108, 0.29417992144345784
109, 0.29677324090105345
110, 0.29264942533943067
111, 0.26848432522769783
112, 0.295696011068078
113, 0.29183994917486794
114, 0.3161942140275242
115, 0.30468588747258346
116, 0.29443202288390646
117, 0.3256891502389704
118, 0.2935160695646176
119, 0.3003871253270289
120, 0.2928605206646279
121, 0.30342542677143
122, 0.2908974100272211
123, 0.29318783897121536
124, 0.2997297028499069
125, 0.30942567726507947
126, 0.29970026804302335
127, 0.29055518991713425
128, 0.2983325771286947
129, 0.30156986364227073
130, 0.3074857389035038
131, 0.3031160062205544
132, 0.3014292407277032
133, 0.3047189971301775
134, 0.31853458837470805
135, 0.3002332370994559
136, 0.3181384049946404
137, 0.3154942016808192
138, 0.3060112886054529
139, 0.31808002929235696
140, 0.319335848874491
141, 0.3264703689048848
142, 0.3203606405770507
143, 0.31700258896056305
144, 0.3232616436900812
145, 0.3225300695484339
146, 0.323777432952062
147, 0.3227628850268927
148, 0.3202503262674955
149, 0.34169703285411224
150, 0.33716934963736295
151, 0.3368223722772535
152, 0.334441917783032
153, 0.34996337171571995
154, 0.3390944166988297
155, 0.34367502999354044
156, 0.3456635285047342
157, 0.34840143890572733
158, 0.3369601705022354
159, 0.3508598291231487
160, 0.333577478693933
161, 0.3561551524213325
162, 0.35058067701488643
163, 0.36283725315885723
164, 0.3558435576050167
165, 0.35132306679263275
166, 0.35473673224353885
167, 0.3711403311666793
168, 0.36898449331092026
169, 0.3690179662578015
170, 0.351390083374045
171, 0.37234561072620476
172, 0.37833627738489484
173, 0.371403434675103
174, 0.3739291470103228
175, 0.3750118345540975
176, 0.3617584284785579
177, 0.39480329798115726
178, 0.3934465788616131
179, 0.3889505879062372
180, 0.40312279891362063
181, 0.41312633955619044
182, 0.4126943585244802
183, 0.3990349638496835
184, 0.41969509572362307
185, 0.4297409022552578
186, 0.4061373990185926
187, 0.4118553608929442
188, 0.42472008612162016
189, 0.44374431084224825
190, 0.44346735247564806
191, 0.433252775365654
192, 0.44472799683137404
193, 0.4478917886102697
194, 0.44877131548011
195, 0.4674237293129111
196, 0.4606607941327755
197, 0.49772674486298607
198, 0.487057226399792
199, 0.46788325703135386
200, 0.492211703355393
201, 0.5054841872322974
202, 0.5145565118930981
203, 0.5013856636514527
204, 0.5003065699789951
205, 0.49736060570007806
206, 0.5076442629690546
207, 0.5259371478619496
208, 0.5249208385427517
209, 0.5135841473555764
210, 0.5239679372068976
211, 0.5134788771572882
212, 0.5212381920925971
213, 0.5272415734978535
214, 0.5380261073131596
215, 0.5462163840622082
216, 0.5526924509461234
217, 0.5666487186570118
218, 0.5815355185055395
219, 0.5853681971435168
220, 0.546754903393569
221, 0.5843182090542749
222, 0.565000245599713
223, 0.5500639741124144
224, 0.5556855692522108
225, 0.5750955829773465
226, 0.5799171545255732
227, 0.5555414021472068
228, 0.5819411057485943
229, 0.5785777340823464
230, 0.5861970018746834
231, 0.5755827076162349
232, 0.5764397981690567
233, 0.5769181998302718
234, 0.6128623080848419
235, 0.5987596128055556
236, 0.6282921230517775
237, 0.6186129223388438
238, 0.6086663300164443
239, 0.6259478291879919
240, 0.6478948687454731
241, 0.6422216837159965
242, 0.6445950841507592
243, 0.6411630601915645
244, 0.6652487148334628
245, 0.6455591993325426
246, 0.6666717831810826
247, 0.6662178575058023
248, 0.6764778245747297
249, 0.690313701298613
250, 0.698294327628551
251, 0.719547345725957
252, 0.7414191894939272
253, 0.7400808280925658
254, 0.7551540403608924
255, 0.7849535040258435
256, 0.7475754341033894
257, 0.7899683552363782
258, 0.7846979682964158
259, 0.8108202906130137
260, 0.8216086078958119
